fid;arquivo;sword_node_id;sword_dist_out_original;pixels;validos;nodata;origem_x;origem_y;distancia_max_m;status;mensagem
81;62265100040201_2401947.txt;62265100040201;2401947.157431773;385;385;0;470866.0078701235;9092983.350164697;2748.235797743709;OK;
82;62265100040161_2401139.txt;62265100040161;2401139.282420482;352;352;0;471606.0078701235;9092683.350164697;2529.4465797877606;OK;
83;62265100040121_2400344.txt;62265100040121;2400344.785821198;417;417;0;472296.0078701235;9092563.350164697;3131.7726609701413;OK;
84;62265100040081_2399553.txt;62265100040081;2399553.1611316293;438;438;0;473026.0078701235;9092303.350164697;3308.0054413498174;OK;
85;62265100040031_2398562.txt;62265100040031;2398562.337972499;343;343;0;473806.0078701235;9092123.350164697;3154.5839662307294;OK;
86;62265100030991_2397740.txt;62265100030991;2397740.1336539667;310;310;0;474696.0078701235;9089353.350164697;2562.36219141635;OK;
87;62265100030941_2396767.txt;62265100030941;2396767.870014644;256;256;0;475636.0078701235;9089613.350164697;2236.0008944542037;OK;
88;62265100030911_2396162.txt;62265100030911;2396162.2851761873;236;236;0;476416.0078701235;9090043.350164697;1758.6642658563344;OK;
89;62265100030851_2394949.txt;62265100030851;2394949.3318049535;170;170;0;477346.0078701235;9090313.350164697;1303.8404810405298;OK;
90;62265100030801_2393937.txt;62265100030801;2393937.7619084935;234;234;0;478456.0078701235;9090303.350164697;1806.1284561182242;OK;
91;62265100030551_2388959.txt;62265100030551;2388959.6152366223;200;200;0;483086.0078701235;9092073.350164697;1495.6269588369955;OK;
92;62265100030301_2383941.txt;62265100030301;2383941.7631299323;177;177;0;487716.0078701235;9093893.350164697;1375.6816492197604;OK;
93;62265100030041_2378765.txt;62265100030041;2378765.834791993;234;234;0;492596.0078701235;9094823.350164697;2045.3361581901397;OK;
94;62265100020891_2376152.txt;62265100020891;2376152.5572579703;337;337;0;495646.0078701235;9095283.350164697;2470.080970332754;OK;
95;62265100020601_2370325.txt;62265100020601;2370325.5956582534;741;741;0;501346.0078701235;9097543.350164697;5227.628525440575;OK;
96;62265100020411_2366483.txt;62265100020411;2366483.224548725;658;658;0;504866.0078701235;9101003.350164697;4726.097756077417;OK;
97;62265100020231_2362877.txt;62265100020231;2362877.2847237103;257;257;0;505766.0078701235;9104653.350164697;1981.5650380444242;OK;
98;62265100020081_2359885.txt;62265100020081;2359885.462370726;233;233;0;507026.0078701235;9107073.350164697;1685.8528998699737;OK;
99;62265100010131_2355656.txt;62265100010131;2355656.5908057336;344;344;0;510046.0078701235;9108803.350164697;2465.6439321199646;OK;
100;62265100010081_2354745.txt;62265100010081;2354745.2123507946;325;325;0;510786.0078701235;9109233.350164697;2369.071548096427;OK;
101;62263900250771_2353109.txt;62263900250771;2353109.153964978;495;495;0;513046.0078701235;9109063.350164697;3641.771546926029;OK;
102;62263900250621_2350099.txt;62263900250621;2350099.691264148;242;242;0;514436.0078701235;9113623.350164697;2106.015194627047;OK;
103;62263900250371_2345086.txt;62263900250371;2345086.873902905;176;176;0;515026.0078701235;9118593.350164697;1671.9150696132863;OK;
104;62263900250121_2340042.txt;62263900250121;2340042.7867120067;247;247;0;515246.0078701235;9123993.350164697;1941.6487838947598;OK;
105;62263900240391_2335029.txt;62263900240391;2335029.970215;286;286;0;513416.0078701235;9128773.350164697;2119.8348992315414;OK;
106;62263900240141_2330082.txt;62263900240141;2330082.6158488304;269;269;0;511016.0078701235;9133213.350164697;1985.9506539690256;OK;
107;62263900230391_2324869.txt;62263900230391;2324869.725755767;511;511;0;510846.0078701235;9138153.350164697;4016.2171256046404;OK;
108;62263900230151_2320001.txt;62263900230151;2320001.2631395007;279;279;0;507766.0078701235;9142533.350164697;2152.4404753674376;OK;
109;62263900220411_2314809.txt;62263900220411;2314809.8990959013;683;683;0;507856.0078701235;9145953.350164697;5146.066458956782;OK;
110;62263900220211_2310835.txt;62263900220211;2310835.3554749847;564;564;0;509306.0078701235;9150293.350164697;5350.0;OK;
111;62263900220101_2308635.txt;62263900220101;2308635.5656397603;518;518;0;510126.0078701235;9151853.350164697;4116.661268552466;OK;
112;62263900220061_2307847.txt;62263900220061;2307847.527550641;543;543;0;510416.0078701235;9152913.350164697;4551.856764003015;OK;
113;62263900220021_2307057.txt;62263900220021;2307057.11202662;839;839;0;511796.0078701235;9154583.350164697;5968.249324550709;OK;
114;62263900210401_2304293.txt;62263900210401;2304293.8612855165;883;883;0;512486.0078701235;9156113.350164697;6822.462898396737;OK;
115;62263900210361_2303495.txt;62263900210361;2303495.438771693;852;852;0;512136.0078701235;9157123.350164697;6768.825599762487;OK;
116;62263900210261_2301499.txt;62263900210261;2301499.9188443935;747;747;0;511816.0078701235;9159453.350164697;6570.509873670384;OK;
117;62263900210141_2299117.txt;62263900210141;2299117.816781183;339;339;0;506606.0078701235;9161463.350164697;2408.401959806544;OK;
118;62263900210061_2297530.txt;62263900210061;2297530.0394340097;234;234;0;505836.0078701235;9162043.350164697;1739.6838793298052;OK;
119;62263900200371_2293507.txt;62263900200371;2293507.1561940988;333;333;0;504046.0078701235;9165883.350164697;2380.7561823924766;OK;
120;62263900200171_2289457.txt;62263900200171;2289457.3206914472;283;283;0;500466.0078701235;9168123.350164697;2001.24960961895;OK;
121;62263900190451_2284667.txt;62263900190451;2284667.0713605057;450;450;0;499296.0078701235;9171883.350164697;4130.0484258662145;OK;
122;62263900190201_2279689.txt;62263900190201;2279689.522966418;513;513;0;501556.0078701235;9176033.350164697;4409.53512288994;OK;
123;62263900180471_2274749.txt;62263900180471;2274749.0937434426;469;469;0;502556.0078701235;9180433.350164697;3638.818489564985;OK;
124;62263900180161_2268592.txt;62263900180161;2268592.3940741913;385;385;0;504096.0078701235;9185433.350164697;2844.7847018711277;OK;
125;62263900180021_2265809.txt;62263900180021;2265809.281232035;569;569;0;505966.0078701235;9187823.350164697;4313.432507875833;OK;
126;62263900170401_2263202.txt;62263900170401;2263202.1455059224;667;667;0;507386.0078701235;9190883.350164697;5212.542565773444;OK;
127;62263900170261_2260355.txt;62263900170261;2260355.214104409;449;449;0;507676.0078701235;9193903.350164697;3446.5054765660825;OK;
128;62263900170101_2257115.txt;62263900170101;2257115.1802775282;228;228;0;508406.0078701235;9196723.350164697;1756.843760839307;OK;
129;62263900160381_2252485.txt;62263900160381;2252485.9730208833;242;242;0;510336.0078701235;9200943.350164697;1836.98121928342;OK;
130;62263900160131_2247476.txt;62263900160131;2247476.461441085;293;293;0;511486.0078701235;9205663.350164697;2275.1703232945;OK;
131;62263900150371_2242048.txt;62263900150371;2242048.7976529375;292;292;0;513846.0078701235;9210453.350164697;2197.2937900972643;OK;
132;62263900150211_2238814.txt;62263900150211;2238814.821942096;340;340;0;515416.0078701235;9213153.350164697;2545.2111896658007;OK;
133;62263900150151_2237599.txt;62263900150151;2237599.1513009556;315;315;0;515746.0078701235;9214233.350164697;2463.5137507227355;OK;
134;62263900150111_2236801.txt;62263900150111;2236801.3608485963;349;349;0;516256.0078701235;9215083.350164697;2732.471408816568;OK;
135;62263900150071_2236007.txt;62263900150071;2236007.0055811037;325;325;0;516486.0078701235;9215873.350164697;2722.498852157701;OK;
136;62263900150031_2235207.txt;62263900150031;2235207.9384251735;343;343;0;516776.0078701235;9216743.350164697;2987.206052484495;OK;
137;62263900140991_2234389.txt;62263900140991;2234389.8900737176;339;339;0;516876.0078701235;9217863.350164697;3212.6313202731494;OK;
138;62263900140961_2233786.txt;62263900140961;2233786.6799689964;338;338;0;516836.0078701235;9218703.350164697;3220.7607796916554;OK;
139;62263900140921_2232995.txt;62263900140921;2232995.6717510726;356;356;0;516676.0078701235;9219603.350164697;3220.51238159396;OK;
140;62263900140891_2232407.txt;62263900140891;2232407.2823596317;376;376;0;516706.0078701235;9220173.350164697;3336.360292294584;OK;
141;62263900140841_2231400.txt;62263900140841;2231400.3125998867;405;405;0;516856.0078701235;9220863.350164697;3459.710970586994;OK;
142;62263900140791_2230403.txt;62263900140791;2230403.7363663944;349;349;0;516886.0078701235;9221883.350164697;2993.7601774357277;OK;
143;62263900140741_2229395.txt;62263900140741;2229395.137354322;296;296;0;516956.0078701235;9222743.350164697;2397.0189819857496;OK;
144;62263900140671_2228002.txt;62263900140671;2228002.70000383;219;219;0;517036.0078701235;9223573.350164697;1586.4740779476986;OK;
145;62263900140411_2222795.txt;62263900140411;2222795.747752557;220;220;0;520716.0078701235;9226953.350164697;2101.927686672403;OK;
146;62263900140171_2217987.txt;62263900140171;2217987.3921719035;293;293;0;525846.0078701235;9225053.350164697;2123.252222417299;OK;
147;62263900140101_2216595.txt;62263900140101;2216595.2536893287;374;374;0;526696.0078701235;9224173.350164697;1802.4705268048074;OK;
